PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
142306B065.,2020,2020-477,Value in dispute,3/16/21,8/20/21,Decrease Value,20000,,,RP,R,14,,JACKSON TWP / CLERMONT NE LSD,JACKSON TWP , CLERMONT NE LSD,03807R14,Board of Revision,2020,118100,98100,"NEIGHBORS PROPERTY VALUES ONLY WENT UP THIS AMOUNT. NEIGHBORS HOUSES ARE NICE MODERN HOUSES. OUR HOUSE IS 80-100 YEARS OLDER, HALF THE HOUSE ISN'T INSULATED, DIRT CRAWL SPACE, NO HEAT IN BEDROOMS/PORCHES/KITCHEN. FRONT PORCH ONLY ROOM THAT HAS MODERN WINDOWS, NO COUNTY WATER."
393110B231.,2020,2020-478,Value in dispute,3/16/21,7/21/21,Decrease Value,61100,,,RP,R,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,01308R39,Board of Revision,2020,216300,155200,SEE ATTACHED DOCUMENTS: HOW NEIGHBORING PROPERTY (PRIMARILY 4370 MT. CARMEL) IS NEGATIVELY IMPACTING THE VALUE OF MY PROPERTY
285718B004.,2020,2020-479,Value in dispute,3/16/21,7/20/21,Decrease Value,41700,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01908R28,Board of Revision,2020,297200,255500,SIMILAR SIZE AND QUALITY HOMES - THIS IS REVERTING TO MOST RECENT ASSESSMENT
414146.017.,2020,2020-480,Value in dispute,3/16/21,7/12/21,Decrease Value,62800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01314R41,Board of Revision,2020,170800,108000,ATTACHED
112207E231.,2020,2020-481,Value in dispute,3/16/21,7/12/21,Decrease Value,38800,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,04165R11,Board of Revision,2020,173800,135000,PLEASE SEE ATTACHED LETTER AND PICTURES
114321.010.,2020,2020-482,Value in dispute,3/22/21,7/1/21,Decrease Value,65000,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,04170R11,Board of Revision,2020,125000,60000,NEXT DOOR TO A JUNK YARD & TRUCKING COMPANY. WATER RUNNING OVER MY PROPERTY LEAVING REAR YARD UNDER WATER. 6865 STATE ROUTE 28 HOUSE APPROXIMATLY 300 FEET AWAY.
184631A079.,2020,2020-483,Recent Sale,3/25/21,6/30/21,Decrease Value,17300,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00109R18,Board of Revision,2020,114300,97000,THE HOME WAS RECENTLY PURCHASED FOR A LOWER PRICE
416501G174.,2020,2020-484,Value in dispute,3/22/21,6/30/21,Decrease Value,29200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01633R41,Board of Revision,2020,114200,85000,SEE ATTACHED DOCUMENTS
132202C186.,2020,2020-485,Value in dispute,3/22/21,7/27/21,No Change in Value,58411,,,RP,R,13,,GOSHEN TWP / LOVELAND CITY SD,GOSHEN TWP , LOVELAND CITY SD,04117R13,Board of Revision,2020,380400,321989,"THE BUILDING VALUES OF THE OTHER HOUSES ON MY STREET, ON AVERAGE, ARE $94 PER SQ FT, BUT MISNE IS VALUED AT $116.42 PER SQ FT. SAME AGE, SAME STYLE, SAME BUILDER. I PROPOSE THAT MY BUILDING VALUE BE REDUCED TO BE COMPARABLE."
182403F429.,2020,2020-486,Value in dispute,3/22/21,6/30/21,Decrease Value,42500,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00311R18,Board of Revision,2020,388500,346000,"THE VALUE WAS RAISED BY OVER 23% WHILE MY TWO IMMEDIATE NEIGHBORS WENT UP 935% (TO $188,300) AND 10.5%( $167,200) RESPECTIVELY. THE AVERAGE HOME VALUE ON MY STREET IN UNDER $200,000. THE HOME WAS BOUGHT AS A FORECLOSURE AND THERE ARE STILL NUMEROUS AREAS OF THE HOME (CONTINUED ON ATTACHMENT)"
413214D361.,2020,2020-487,Value in dispute,3/22/21,7/13/21,Decrease Value,48600,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01518R41,Board of Revision,2020,298600,250000,"THE PROPERTY AT 452 BIRCHWOOD DRIVE, WHICH IS A VERY SIMILULAR PROPERTY, SOLD LAST YER ON 2/10/20 FOR $ 255,000."
272804E059.,2020,2020-488,Incorrect Listing,3/19/21,7/20/21,Decrease Value,18000,,,RP,A,27,NEW RICHMOND,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,01919A27,Board of Revision,2020,63000,45000,"ROOF COLLAPSE, FRONT WALL OF HOUSE MISSING, NO ELECTRIC, NO PLUMBING, FLOORS ROTTEN, WAS VANDALIZED. NON-HABITABLE, NOT LIVED IN SINCE 2007. SEPTIC UNKNOWN"
523509B001.,2020,2020-489,Value in dispute,3/19/21,6/16/21,Decrease Value,59100,,,RP,R,52,WILLIAMSBURG,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,03412R52,Board of Revision,2020,89100,30000,"HOUSE WAS IN DISREPAIR & ALSO GARAGE. HOUSE & PROPERTY WAS PURCHASED 2017 FOR THE SUM OF $30,000 TOTAL. OR BOOK 2695 PG 1635/1636 AND ELECTRIC SERVICE UPGRADE B PERMIT 014867"
414211.010.,2020,2020-490,Value in dispute,3/19/21,6/30/21,Decrease Value,20200,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01513R41,Board of Revision,2020,160200,140000,"OLD KITCHEN, OLD CARPETS & OLD BATHROOM"
531319.151B,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,0,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,7400,7400,VALUE WENT DOWN. SEE PHOTOS
531319.152A,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,2800,1000,VALUE WENT DOWN. SEE PHOTOS
531319.153B,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,3200,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,3500,300,VALUE WENT DOWN. SEE PHOTOS
531319.153C,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,2100,300,VALUE WENT DOWN. SEE PHOTOS
531319.154A,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,2800,1000,VALUE WENT DOWN. SEE PHOTOS
531319.154B,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,2800,1000,VALUE WENT DOWN. SEE PHOTOS
531319.154D,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,3700,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,8600,4900,VALUE WENT DOWN. SEE PHOTOS
531319.155C,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,3000,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,3500,500,VALUE WENT DOWN. SEE PHOTOS
531319.156B,2020,2020-491,Value in dispute,3/19/21,6/16/21,No Change in Value,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,2800,1000,VALUE WENT DOWN. SEE PHOTOS
531319.156C,2020,2020-491,Value in dispute,3/19/21,6/16/21,Decrease Value,5200,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03605R53,Board of Revision,2020,66800,61600,VALUE WENT DOWN. SEE PHOTOS
416501N208.,2020,2020-492,Value in dispute,3/18/21,6/30/21,Decrease Value,17300,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01633R41,Board of Revision,2020,97300,80000,LAND DIFFERENT PRICE THAN OTHER CONDOS. NO UPGRADES. CONDO TAX ARE ALL DIFFERENT PRICE AND FEES ARE ALL DIFFERENT
416501I166.,2020,2020-493,Value in dispute,3/19/21,8/20/21,Decrease Value,28400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01633R41,Board of Revision,2020,118400,90000,"LAND DIFFERENT PRICES THAN OTHERS. ALL CONDO'S DIFFERENT PRICES. WE ARE RETIRED, FIXED INCOME AND NO UP GRADES"
413217C033.,2020,2020-494,Value in dispute,3/19/21,8/20/21,Decrease Value,122200,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1660000,Board of Revision,2020,522200,400000,"RECENT SALE OF COMPARABLE PROPERTIES. PHYSICAL, ECONOMIC, FUNCTIONAL DEPRECIATION OR OBSOLESCENE. ECONOMIC VALUATION BASED ON GROSS OR NET INCOME."
185401.095.,2020,2020-495,Value in dispute,3/19/21,6/30/21,Decrease Value,32500,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00427R18,Board of Revision,2020,231900,199400,DETERIORATING PROPERTY IS MY BIG CONCERN. I HAVE NOT IMPROVED MY HOUSE SINCE MOVING IN. I LIVE ON THE FIRST STREET IN TANGLEWOOD SUBDIVISION. I AM A WIDOW SINCE 2001 AND AM 90 YEARS OLD.
272810D073.,2020,2020-496,Condition of Property,3/25/21,7/1/21,Decrease Value,56600,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,01928R27,Board of Revision,2020,61600,5000,"THE HOME HAS NOT BEEN LIVED IN FOR OVER 30 + YEARS AND HOUSE NEEDED TO BE BOARDED UP OR TORN DOWN TO SATISFY PIERCE TOWNSHIP.  I BOARDED IT UP.  IT WILL COST MORE TO TEAR THE BUILDING DOWN THAN WHAT I PAID FOR IT.  COUNTY VALUE DOUBLED FROM $14,400 TO $29,500 WHEN IT IS CLEARLY NOT LIVABLE."
394225B041.,2020,2020-497,Value in dispute,3/25/21,6/30/21,Decrease Value,25500,,,RP,R,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,01305R39,Board of Revision,2020,147500,122000,"#394225B037  595 DORGENE LANE SOLD FOR $121,500  04/2017 #394225B039  591 DORGENE LANE SOLD FOR $95,000  07/2019  (THIS HOUSE IS NEXT TO MY HOUSE  (585 DORGENE LANE) #394225C055  569 BERDALE LANE SOLD FOR $112,500  10/2018  PLEASE RE-EVALUATE MY TAXES.  THIS IS A FINANCIAL BURDEN ON ME."
272810D047.,2020,2020-498,Condition of Property,3/25/21,7/1/21,Decrease Value,96000,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,01928R27,Board of Revision,2020,141000,45000,"HOUSE HAS NOT BEEN LIVED IN FOR 15 YEARS.  THE ROOF, FURNACE, A/C, CISTERN, DRYWALL, INSULATION, MOST FLOORING NEEDS TO BE EITHER REPLACED OR REPAIRED.  THE HOUSE IS INFESTED WITH RACCOONS AND MICE."
232609C208.,2020,2020-499,Value in dispute,3/25/21,7/27/21,No Change in Value,100,,,RP,R,23,,MONROE TWP / WEST CLERMONT LSD,MONROE TWP , WEST CLERMONT LSD,02505R23,Board of Revision,2020,100,0,"I CAN'T AFFORD A 28% INCREASE IN TAXES LIVING ON DISABILITY FIXED INCOME.  I DON'T BELIEVE MY HOUSE VALUE INCREASED BY OVER 16% IN ONE YEAR.  THE LAND I LIVE ON IS EXTREMELY SWAMPY AND THEREFORE, NEEDS A TON OF DIRT BROUGHT IN TO HAVE ANY VALUE AT ALL.  THIS IS A MAJOR EXPENSE THAT I CAN NOT AFFORD."
252705B055.,2020,2020-499,Value in dispute,3/25/21,7/27/21,Decrease Value,26000,,,RP,R,25,,OHIO TWP / WEST CLERMONT LSD,OHIO TWP , WEST CLERMONT LSD,02204R25,Board of Revision,2020,160400,134400,"I CAN'T AFFORD A 28% INCREASE IN TAXES LIVING ON DISABILITY FIXED INCOME.  I DON'T BELIEVE MY HOUSE VALUE INCREASED BY OVER 16% IN ONE YEAR.  THE LAND I LIVE ON IS EXTREMELY SWAMPY AND THEREFORE, NEEDS A TON OF DIRT BROUGHT IN TO HAVE ANY VALUE AT ALL.  THIS IS A MAJOR EXPENSE THAT I CAN NOT AFFORD."
082124.011.,2020,2020-500,Value in dispute,3/19/21,6/30/21,Decrease Value,33200,,,RP,R,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,02804R08,Board of Revision,2020,103200,70000,"HOME WAS APPRAISED AT $ 70,000 WHEN REFINANCED IN 10/16. SINCE THEN HOME FLOODED IN 2020, HOME WAS REWIRED. THIS IS THIRD TIME OUR HOME HAS FLOODED SINCE 2001. IT FLOODED IN 7/01, 7/03 & 5/20. THIS WILL BE ALMOST IMPOSSIBLE TO SELL BECAUSE OF THIS. THE TRUE OPINION OF HOME VALUE IS MUCH LESS THAN STATED AMOUNT"
182411B234.,2020,2020-501,Value in dispute,3/19/21,7/12/21,Decrease Value,19600,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00232R18,Board of Revision,2020,274600,255000,SIMILAR HOUSE SALES ON STREET. NEIGHBORS TAX BILL WENT UP AVERAGE OF 15% & OURS WAS 21%.
210727.084.,2020,2020-502,Increased Vacancy,3/26/21,8/9/21,Decrease Value,270600,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1117000,Board of Revision,2020,1070600,800000,CHRIST HOSPITAL VACATED OVER 12 MONTHS AGO LEAVING PROPERTY 35% VACANT AND LITTLE TO NO LEASING ACTIVITY.
210727.085.,2020,2020-502,Increased Vacancy,3/26/21,8/9/21,No Change in Value,0,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1117000,Board of Revision,2020,35500,35500,CHRIST HOSPITAL VACATED OVER 12 MONTHS AGO LEAVING PROPERTY 35% VACANT AND LITTLE TO NO LEASING ACTIVITY.
414818C169.,2020,2020-503,Board of Revision,3/26/21,7/12/21,Decrease Value,16300,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01317R41,Board of Revision,2020,156700,140400,CHECKED WITH OTHERS CONCERNING THE CHANGE IN APPRAISAL. RANGED FROM INCREASE OF 12.5% TO 19%. MINE IS 34% .LOOKED AT HOME VALUES AND THEIR TAXABLE APPRAISED VALUE WAS $35K TO $85K  LESS THAN WHAT THE HOUSE WOULD SELL FOR.  MINE IS $5K. APPRECIATE YOUR REEVALUATING  OR EXPLANATION OF  DIFFERENCE
284412A025.,2020,2020-504,Value in dispute,3/27/21,7/12/21,Decrease Value,15100,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01849R28,Board of Revision,2020,129400,114300,"AN INCREASE IN VALUE OF $15,100 YEAR OVER YEAR (2019 TO 2020) IS NOT JUSTIFIED SINCE THERE WAS NOTHING THAT WOULD WARRANT A 13% INCREASE. ADDITIONALLY, MR. WEBSTER PASSED AWAY IN SEPTEMBER 2019 AND MS. WEBSTER IS ON A FIXED INCOME AND CAN NOT CONTINUE TO PAY ADDITIONAL TAXES."
222602C062.,2020,2020-505,Value in dispute,3/28/21,7/12/21,Decrease Value,48275,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,02545R22,Board of Revision,2020,426800,378525,"AN INCREASE OF 16.13% YEAR-TO-YEAR, AND A TOTAL INCREASE OF 29.3% SINCE 2016 IS EXCESSIVE AND NOT SUPPORTED BY MARKET DATA AVAILABLE FOR THESE TIME PERIODS."
112209J180.,2020,2020-506,Recent Sale,3/28/21,7/12/21,Decrease Value,148100,,,RP,C,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,C4145000,Board of Revision,2020,898100,750000,I ONLY PURCHASED THE PROPERTY IN MAY OF 2019 AND WHEN YOU REVALUED THE PURCHASE DATE WASN'T TAKEN INTO ACCOUNT. THE VALUE CAN NOT GO UP THAT MUCH IN ONE YEAR. I SPOKE WITH THE OFFICE AND THEY AGREED IT WAS A MISTAKE . PLEASE MAKE THE CORRECTION. THANK YOU
184036C013.,2020,2020-507,Value in dispute,3/18/21,7/1/21,Decrease Value,51300,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00215R18,Board of Revision,2020,170700,119400,SIDING ON THE GARAGE NEED TO BE RPLACEC ON 2 1/2 GARAGE. PATIO CRACKED TO BE REPLACED. DRIVEWAY ON ONE SIDE SUNK A LITTLE AND SHOULD BE FIXED. WATER IS NOT RUNNING IN GRASS RUNNING IN GARAGE.
184036D040.,2020,2020-508,Value in dispute,3/29/21,7/12/21,Decrease Value,30800,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00215R18,Board of Revision,2020,180800,150000,"IT HAS RECENTLY CAME TO MY KNOWLEDGE THAT THE VALUE OF MY PROPERTY HAS INCREASED FROM 135K TO 180K. I AM APPEALING THE APPRAISAL GIVEN THE CONDITION OF THE HOME. THE REASON I SAY THIS IS: THE DRIVEWAY NEEDS REPLACE, WINDOWS, BACKYARD DRAINAGE, CRAWL SPACE, INSULATION IN ATTIC, KITCHEN, AND FIREPLAC"
032023D403.,2020,2020-509,Value in dispute,3/17/21,6/30/21,Decrease Value,30700,,,RP,R,3,AMELIA,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,04425R03,Board of Revision,2020,268200,237500,"HOUSE AT 1326 COVEDALE LANE, AMELIA (NEXT DOOR), 032023D40 IS THE IDENTICAL MI HOMES LONG MEADE III MODEL. THIS HOUSE SOLD FOR $237,500 IN SEPTEMBER 2018. IN 2019 THIS HOUSE WAS APPRAISED AT $ 196,000 WHILE MY HOUSE WAS APPRAISED AT $ 191,800. NOW THE DIFFERENCE IN APPRAISAL IS $ 17,000."
416501H175.,2020,2020-510,Value in dispute,3/17/21,7/12/21,Decrease Value,18800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01633R41,Board of Revision,2020,100800,82000,THE CHANGE IN VALUE DOUBLES MY PROPERTY TAXES. CURRENT VALUE MAKES THE PROPERTY IMPOSSIBLE TO SELL  AT THIS AMOUNT VALUE.
284719.013.,2020,2020-511,Recent Sale,3/17/21,7/21/21,Decrease Value,129300,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01906R28,Board of Revision,2020,224300,95000,"HOUSE WAS PURCHASED FOR $95,000 ON 8/23/19. ISSUES WITH HOUSE INCLUDE MOLD, WATER, RACCOONS, ROOF, GUTTERS, FOUNDATION, PLUMBING, ELECTRIC, DRYWALL."
414805M187.,2020,2020-512,Value in dispute,3/18/21,7/20/21,Decrease Value,28100,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01619R41,Board of Revision,2020,158100,130000,SUBSTANTIAL CRACKS IN CONCRETE DRIVEWAY. ROOF IS 20 YRS OLD DOUBLE LAYERED WITH POOR FLASHING. ELECTRICAL IN NEED OF UPGRADE WIRING.
272802A021.,2020,2020-513,Value in dispute,3/16/21,7/19/21,Decrease Value,418100,,Board of Tax Appeals,RP,C,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,C1928000,Board of Revision,2020,451300,33200,"THE PROPERTY IS NOT IMPROVED BUT $383,700 IN IMPROVEMENTS ARE ASSESSED. THE 2020 ASSESSED VALUE FOR LAND IS MORE THAN DOUBLE THE 2019 VALUE, EVEN THOUGH THE MARKET FOR THE PROPERTY DID NOT CHANGE."
540926.021.,2020,2020-514,Recent Sale,3/12/21,7/19/21,Decrease Value,1084400,,Board of Tax Appeals,RP,C,54,,PIERCE TWP/NEW RICH VILL / NEW RICH EVSD,NEW RICH VILL , NEW RICH EVSD,C2311000,Board of Revision,2020,1421000,336600,"THE PROPERTY S UNIMPROVED BUT $ 1,084,400 OF IMPROVEMENTS ARE ASSESSED"
272802C006.,2020,2020-515,Recent Sale,3/12/21,7/19/21,Decrease Value,1414000,,Board of Tax Appeals,RP,C,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,C1928000,Board of Revision,2020,3292500,1878500,"THE 2020 ASSESSED VALUE IS SUBSTANTIALLY HIGHER THAN THE 2019 VALUE, EVEN THOUGH THE MARKET FOR THE PROPERY DID NOT CHANGE FROM 2019 TO 2020"
540926.004.,2020,2020-516,Recent Sale,3/12/21,7/19/21,WITHDRAWAL,52700,,Withdrawal,RP,C,54,,PIERCE TWP/NEW RICH VILL / NEW RICH EVSD,NEW RICH VILL , NEW RICH EVSD,C2311000,Board of Revision,2020,435000,382300,"THE 2020 ASSESSED VALUE IS SUBSTANTIALLY HIGHER THAN THE 2019 VALUE, EVEN THOUGH THE MARKET FOR THE PROPERTY DID NOT CHANGE FROM 2019 TO 2020."
272802E009.,2020,2020-517,Recent Sale,3/12/21,7/19/21,Decrease Value,2512800,,Board of Tax Appeals,RP,C,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,C1928000,Board of Revision,2020,3612800,1100000,"THE VALUE OF THE IMPROVEMENTS TO THE PROPERTY IS FAR LESS THAN THE $ 2,535,600 ASSESSED VALUE BECAUSE THEY ARE FOR THE MOST PART UNUSABLE."
184018.007.,2020,2020-518,Value in dispute,3/29/21,7/12/21,Decrease Value,16700,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00239R18,Board of Revision,2020,158100,141400,"NO IMPROVEMENTS TO PROPERTY HAVE BEEN MADE IN NUMEROUS YEARS.  DWELLING IS ONLY A 2 BEDROOM, 1 FULL BATH.  VALUE OF HOME SHOULD HAVE NOT INCREASED.  NO APPRAISER HAS BEEN ON SITE TO JUSTIFY INCREASE IN VALUATION OF HOME."
413103C564.,2020,2020-519,Value in dispute,3/29/21,8/20/21,Decrease Value,15100,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01432R41,Board of Revision,2020,200100,185000,"PREVIOUS APPRAISAL WAS 171,000 AN INCREASE OF 29,000 IS GOING TO PLACE A FINANCIAL BURDEN ON US. AREA HOMES OF SIMILAR BUILD ARE NOT SELLING FOR 200,000"
290114.461.,2020,2020-520,Value in dispute,3/29/21,7/13/21,Decrease Value,39400,,,RP,R,29,AMELIA,PIERCE TWP/FORM AMEL VIL/W CLER LSD,FORM AMEL VIL,W CLER LSD,02003R29,Board of Revision,2020,224400,185000,THE PROPERTY VALUE BASE ON THE AUDITOR OFFICE HAS GONE FROM 155.000 TO 214.000 IN A THREE YEAR PERIOD. 40% INCREASE IN THREE YEARS.SINCE I AM NOW PIERCE TOWNSHIP NOT AMELIA VILLAGE AND THE VALUE AND TAX RATE DOES NOT SUPPORT A FORTY PERCENT INCREASE AT ANY GIVEN TIME.185.000 IS A FAIR INCREASE.
414135.098.,2020,2020-521,Condition of Property,3/29/21,8/20/21,Decrease Value,101300,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01407R41,Board of Revision,2020,246300,145000,"THE PROPERTY NEEDS A LOT OF WORK; FOR EXAMPLE, THE CHIMNEY FOR THE FIREPLACE NEEDS REPAIRED AND INSIDE AROUND THE FIREPLACE NEEDS REPAIRED, I AM TOLD THE ATTIC HAS A MOUSE INFESTATION AND SO INSULATION NEEDS REMOVED AND REPLACED, INSULATION ALSO NEEDS REPLACED IN CRAWL SPACE, ETC."
282808C208.,2020,2020-522,Value in dispute,3/30/21,7/20/21,Decrease Value,45100,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01811R28,Board of Revision,2020,190100,145000,ALMOST ALL THE OTHER HOUSES IN THIS NEIGHBORHOOD ARE COLONIALS WITH BRICK FRONTS AND HAVE 4 BEDROOMS AND A FORMAL DINING ROOM. THIS HOUSE HAS ONLY 3 BEDROOMS. IT DOES NOT HAVE A FORMAL DINING ROOM. THE EXTERIOR IS ALL VINYL SIDING. THE BASEMENT LEAKS. THE ROOF LEAKS. PICTURES ARE ATTACHED.
414126.001.,2020,2020-523,Condition of Property,3/18/21,8/3/21,Decrease Value,48200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01606R41,Board of Revision,2020,133200,85000,SEE ATTACHED LETTER AND PICTURES
222608C028.,2020,2020-524,Value in dispute,3/18/21,6/16/21,Decrease Value,30400,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,02546R22,Board of Revision,2020,305700,275300,"NO CHANGES HAVE BEEN MADE SINCE 2014 - WHEN THE VALUE WAS 275,300. IT WAS THAT FROM 2014-2016 THEN INCREASED SIGNIFICANTLY."
282816B903.,2020,2020-525,Value in dispute,3/18/21,6/16/21,Decrease Value,74367,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01803R28,Board of Revision,2020,240900,166533,SEE ATTACHED
222603D084.,2020,2020-526,Value in dispute,3/18/21,8/20/21,Decrease Value,27000,,,RP,A,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,02516A22,Board of Revision,2020,292000,265000,"I BUILT HOME IN 1996, STILL HAS ORIGINAL BATHROOMS, KITCHEN CABINETS, AND THE HARDWOOD FLOORS NEED UPDATED."
222604J060.,2020,2020-527,Value in dispute,3/18/21,8/20/21,Decrease Value,19900,,,RP,A,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,02515R22,Board of Revision,2020,64900,45000,"PROPERTY HAS 1972 MOBILE HOME AND OLD BARN THAT WE CAN'T BUY INSURANCE FOR, JUST LIABILITY INSURANCE."
